Node1,Node2,AmntTrn,CntTrn,Alert
131085,88914,300,1,0
131098,89863,1,1,0
28,59868,47000,1,0
131103,88914,114,1,0
131120,51820,10000,1,0
131121,89863,637,1,0
52,26149,259,1,0
87,58061,462,4,0
131161,93641,758,1,0
91,88914,1288,3,0
131167,78839,148385,1,0
100,89863,100,1,0
102,124175,1200,2,0
131177,128392,7500,1,0
131186,53450,2943,2,0
114,89863,34,2,0
131194,128392,12,1,0
131197,89863,60,1,0
131,168278,1821,1,0
157,50375,652,1,0
131239,78111,4000,2,0
185,133490,2022,1,0
185,111608,2309,1,0
131257,89189,1414,1,0
191,108442,3740,1,0
131265,168515,7026,1,0
131270,53450,630,3,0
201,89863,600,4,0
201,53450,600,4,0
206,89863,476,1,0
131291,167162,11122,2,0
131308,124533,65,2,0
251,53371,32,1,0
131363,53450,498,1,0
298,88064,1203,2,0
131380,109348,14343,2,0
131388,63814,460,3,0
131392,90776,60,1,0
131395,59857,12,1,0
131407,85763,900,3,0
131413,105301,41719,13,0
131413,58727,2264,10,0
131413,57261,21216,6,0
131413,117440,381,3,0
131413,167265,106977,33,0
350,124533,1,1,0
131429,124522,3390,1,0
359,91926,14000,1,0
131438,96744,2000,1,0
131456,104715,172,1,0
131461,24758,150,1,0
131462,89863,164,3,0
131475,81248,326,1,0
131478,53338,1428,1,0
131478,53450,170,2,0
131478,89863,1059,3,0
131478,88035,720,2,0
407,83247,388,1,0
410,52150,3276,1,0
410,55039,5510,1,0
410,169500,3500,2,0
413,89863,122,1,0
415,88064,3186,3,0
131497,59857,1684,4,0
131499,89863,634,1,0
131503,96800,7558,4,0
437,135961,80,1,0
131524,110155,7200,3,0
460,105281,50,1,0
460,24783,1000,4,0
131534,124226,2130,1,0
131535,109421,1099,1,0
478,162101,34000,1,0
131554,61107,1137,1,0
131556,59857,101,1,0
495,110050,518,2,0
509,78688,536,3,0
131593,89863,745,2,0
537,51775,1200,2,0
547,169396,410,2,0
551,35838,16428,1,0
553,85695,155,1,0
131631,89863,320,1,0
567,99872,173,2,0
567,135928,4429,6,0
567,90821,1949,3,0
567,53371,1855,1,0
567,93587,4208,5,0
567,63814,1800,3,0
567,85763,824,3,0
567,104799,3396,11,0
567,93641,150,1,0
567,53420,1000,2,0
567,111626,214,2,0
567,78111,2551,13,0
567,90309,450,3,0
567,91798,2400,3,0
567,128392,250,2,0
567,59857,10141,23,0
567,108105,684,1,0
567,88064,5432,14,0
567,85784,300,4,0
567,66873,3594,12,0
567,85829,3623,8,0
567,60057,2659,9,0
567,89189,2433,3,0
567,105284,1086,4,0
567,81248,8082,21,0
567,51787,260,3,0
567,119681,2825,9,0
567,51775,5763,15,0
567,47723,202,4,0
567,85742,4182,16,0
567,89009,6588,16,0
567,89779,2268,6,0
567,89132,3127,10,0
567,107109,1040,4,0
567,88035,210,3,0
567,89863,11192,34,0
567,52279,1172,6,0
567,85795,3355,8,0
567,81261,2964,12,0
567,24783,2100,6,0
567,108467,961,6,0
567,53450,3795,10,0
567,105281,4001,9,0
567,100917,635,2,0
567,88914,3785,11,0
573,118756,1250,4,0
131668,89209,9,1,0
599,90763,400,2,0
602,79994,322995,11,0
603,59984,150635,7,0
606,108467,3926,7,0
606,89126,10857,24,0
606,104799,600,3,0
606,90821,4129,6,0
606,99872,1838,5,0
606,111626,8250,15,0
606,85763,7094,10,0
606,47723,3850,6,0
606,88914,4375,11,0
606,119681,450,3,0
606,66873,8550,14,0
606,59909,1800,3,0
606,81260,900,3,0
606,85784,8735,14,0
606,88035,1500,3,0
606,59857,4323,6,0
606,81235,150,3,0
606,60057,4750,3,0
606,89863,6500,18,0
606,53450,7590,15,0
606,93587,11369,12,0
606,88064,1950,6,0
606,89009,23650,24,0
606,105287,800,3,0
606,85795,4200,6,0
606,89191,687,3,0
606,135928,5410,7,0
606,53420,7000,9,0
606,63814,2540,8,0
606,100917,10897,14,0
606,85742,3978,6,0
606,114162,810,3,0
606,107109,14883,9,0
606,26149,6750,12,0
606,51775,5100,12,0
606,78111,4800,6,0
606,108105,4700,9,0
606,89132,1950,6,0
606,90309,7228,7,0
606,105284,5811,9,0
606,24783,11136,9,0
606,50440,3900,6,0
606,77890,4200,9,0
606,85846,1880,2,0
606,105281,6450,12,0
606,81248,1800,3,0
622,99872,300,1,0
131698,90340,10271,1,0
131706,85742,83,1,0
637,89863,235,1,0
641,162075,19980,2,0
681,81257,854,2,0
685,167197,1450,1,0
713,66873,1785,3,0
713,59857,2492,4,0
713,87645,13384,1,0
727,53371,1967,2,0
740,89863,2440,10,0
763,59869,38,1,0
131839,85784,59,3,0
131847,24425,7,1,0
131847,167103,8418,31,0
131847,57405,7471,23,0
131847,89924,7869,2,0
131847,63928,613,2,0
131847,119043,20,1,0
779,52467,200,1,0
796,66720,8622,3,0
801,63997,300,1,0
816,89863,390,1,0
816,88927,920,2,0
131890,53450,1526,1,0
840,105284,500,1,0
841,88914,890,1,0
131916,100917,810,1,0
131932,126599,1735,6,0
864,88914,2721,3,0
867,91926,1932,1,0
879,85621,1484,1,0
888,100917,4947,6,0
888,85795,1569,5,0
888,90821,8948,9,0
888,51775,5857,6,0
888,89863,9458,12,0
888,53450,1399,3,0
898,53371,800,1,0
131980,89863,125,1,0
921,124226,1523,1,0
132004,73131,10700,1,0
132014,62328,400,2,0
132027,24263,200,2,0
132027,72076,1254,1,0
132027,45686,1392,1,0
132027,143763,55214,5,0
132027,75743,5880,1,0
132027,202241,19393,5,0
132041,184232,36885,17,0
132042,107655,15592,1,0
132042,73131,1000,2,0
132049,65775,177,3,0
132049,22686,13244,1,0
132049,64926,7920,1,0
985,107815,43072,1,0
991,66720,385,3,0
1011,53450,787,1,0
132098,14590,4000000,8,1
132103,49813,346,1,0
132106,55324,2608,3,0
132106,24774,2729,4,0
132106,18788,1750,2,0
132110,52088,3570,1,0
132110,80068,6680,3,0
132110,52030,1367,2,0
132110,53947,1646,1,0
132110,52035,5876,4,0
132117,138161,23688,1,0
132121,5333,11303,3,0
132121,143303,6671,3,0
1054,162225,3000,2,0
1057,109795,50,1,0
1057,99872,83,1,0
1057,128392,83,1,0
1058,108467,400,1,0
132141,26232,9900,5,0
132146,111816,66,3,0
132151,139076,8928,2,0
132151,880,3500,1,0
132151,175542,1250,1,0
132161,78711,1450,1,0
1090,118734,1142,1,0
1097,59866,31000,2,0
132172,35346,328,1,0
1114,119755,9520,4,0
1176,109916,21770,3,0
132250,90083,150,1,0
132257,100654,100,1,0
132263,63820,24900,1,0
1197,110099,19762,3,0
1217,81248,958,3,0
1217,104799,1796,4,0
1217,85784,1334,4,0
1217,53371,618,3,0
1217,77890,1333,4,0
132300,89800,80,1,0
1235,107486,804,1,0
1236,111626,1600,1,0
1240,81265,360,1,0
1246,89863,3300,6,0
1246,104799,1300,3,0
1246,81261,139,5,0
1246,53450,3802,14,0
1246,85795,9633,12,0
1246,111626,946,5,0
1249,51775,1660,5,0
1249,90821,494,3,0
1256,81248,1333,1,0
1256,53450,1800,1,0
1258,89009,1377,2,0
1265,59857,3646,7,0
1271,78111,1017,3,0
132343,78111,284,1,0
1280,19241,1200,2,0
132357,59857,1212,3,0
132359,89009,62,3,0
132366,85846,1672,3,0
1298,93677,2017,3,0
1310,92481,9413,1,0
1310,85795,8277,2,0
1321,53364,6680,3,0
1321,81235,200,1,0
1324,134506,1282,2,0
132404,19831,7570,1,0
1345,105284,2932,3,0
132419,18919,28000,1,0
1347,169175,5000,1,0
132425,126403,19300,4,0
1360,47742,32902,2,0
1373,56664,5000,1,0
1375,54969,288,1,0
132464,22275,10710,1,0
132464,78949,1506,4,0
1393,85795,10,2,0
1393,89863,40,3,0
1396,47803,524,1,0
1401,78111,130,2,0
132481,50195,9005,7,0
132481,66891,200,1,0
132481,143060,297,1,0
132489,64982,1313,1,0
1424,111626,805,2,0
1424,59857,1723,2,0
1424,81261,1229,2,0
1437,66720,69,1,0
132513,107087,33402,1,0
1443,89863,600,2,0
132516,89863,594,1,0
132517,63814,100,1,0
132526,89009,473,1,0
1480,59951,4780,3,0
1480,78111,779,2,0
1480,89820,532000,4,0
132563,52279,506,3,0
132577,89863,400,1,0
132579,53450,290,1,0
132585,93641,300,3,0
1513,135928,600,2,0
1513,104799,900,3,0
1529,114199,250,1,0
1544,111626,1885,3,0
1544,88064,1145,3,0
132623,88035,270,1,0
132625,168468,10226,1,0
1555,117222,600,1,0
132637,81261,192,2,0
132651,89009,80,2,0
1613,88914,4236,12,0
1613,111626,3185,7,0
1613,100917,9245,16,0
1613,104799,1608,3,0
1613,26149,570,1,0
1613,81261,14924,34,0
1613,88064,4110,13,0
1613,135928,2475,3,0
1613,119681,1333,3,0
1613,88035,3124,8,0
1613,85742,1446,3,0
1613,89863,10920,30,0
1613,85795,12995,30,0
1613,85829,469,3,0
1613,53450,7368,21,0
1613,52279,2879,6,0
1613,93587,5987,14,0
132686,78111,287,1,0
1618,163291,3300,3,0
132701,167344,221481,1,0
1629,51775,69,2,0
132708,59857,13,1,0
132710,163149,160,1,0
132715,81261,4500,2,0
132747,85453,4900,1,0
132762,81248,242,1,0
1695,108186,290,2,0
1700,59857,500,1,0
1700,108105,674,1,0
1721,47723,72,1,0
1722,128392,2232,4,0
1728,90083,150,1,0
1735,51775,1489,3,0
1738,128392,4354,2,0
132875,111791,19,1,0
1810,53450,1062,1,0
1810,111626,1093,1,0
1812,59857,2214,2,0
1822,54113,975,1,0
1834,55429,1082,1,0
1837,89006,100,1,0
1853,55228,2380,2,0
132942,59857,1359,2,0
132950,87811,40000,2,0
132961,89863,2597,6,0
132966,105284,291,1,0
132969,82978,259,2,0
1899,100969,526,1,0
1902,105301,276,1,0
132978,124533,75,2,0
132998,117179,5430,3,0
133002,89863,319,3,0
1939,89863,850,3,0
133013,134359,15000,1,0
133016,99872,1024,2,0
133017,108105,1448,2,0
1949,89009,1697,1,0
133025,81261,780,1,0
133028,59857,89,1,0
1956,88064,339,1,0
133040,134273,120,1,0
133043,118825,4300,2,0
133050,123085,350,1,0
1978,59857,18,1,0
133059,104799,1127,3,0
133066,110099,4711,1,0
1997,126287,826,3,0
2003,55281,11072,6,0
133082,105287,1362,3,0
133082,135928,252,2,0
133085,81235,1000,1,0
2028,47723,3709,2,0
2029,78111,465,1,0
133104,163254,16150,3,0
133105,89863,2652,3,0
133114,59857,1901,2,0
133116,53371,1040,2,0
133116,85846,1110,3,0
2049,124533,40,2,0
2054,111791,19,1,0
133136,81248,631,2,0
133156,53338,33,3,0
133158,51775,1140,3,0
133174,51908,190,2,0
2114,85453,49039,2,0
133191,60055,150,1,0
133209,89863,63,2,0
133212,169581,5567,1,0
2186,107165,4316,1,0
133258,53420,25,1,0
133258,53450,648,1,0
2200,114205,5000,1,0
2206,111626,1827,1,0
2212,81398,2876,2,0
133293,12328,469,1,0
133293,21433,22,1,0
2223,66720,22,1,0
133296,191595,242,1,0
133300,182803,2286,7,0
133300,22454,763,3,0
133301,47947,7827,2,0
133301,50680,100,2,0
133310,190174,300,1,0
133311,22349,1186,1,0
133312,713,652,4,0
133312,177009,3871,2,0
133312,6411,1335,4,0
133312,176963,29,1,0
133320,94116,12172,1,0
133320,133322,18000,2,0
133321,141777,20,2,0
133321,13505,3114,1,0
133321,41061,75,1,0
133321,43127,1,1,0
133322,28741,407,1,0
133322,59395,863464,1,0
133322,133320,20000,2,0
133331,14322,14,1,0
2260,53423,7500,1,0
2260,91800,31561,3,0
2277,89863,1200,2,0
2284,53450,2361,3,0
2296,88803,726,1,0
133374,18788,1808,1,0
133374,48162,18700,4,0
2303,77890,1253,2,0
2303,63814,1457,6,0
2303,105287,1662,3,0
2303,85784,4096,5,0
2303,104799,284,3,0
2303,108467,734,1,0
2304,104799,258,1,0
2309,123085,200,1,0
133382,16606,243,2,0
2335,55182,370,3,0
133424,163254,32974,6,0
133424,78949,8560,5,0
2362,89863,453,1,0
2363,169396,591,2,0
133435,8063,110,2,0
133435,24084,738,1,0
133435,187894,1124,2,0
133441,184968,432,1,0
133446,143536,1000,1,0
2374,163254,5000,1,0
2374,162280,2500,1,0
2374,53441,4436,2,0
133449,68262,36794,3,0
133449,124120,1901,5,0
133449,156944,2634,1,0
133449,20826,1714,3,0
133449,16620,27229,1,0
133449,36288,672949,3,0
2379,167252,952,1,0
133452,11781,208,2,0
133456,42969,5012,1,0
133456,14509,1219,2,0
133456,13505,116321,2,0
133456,89009,2000,2,0
133456,109686,475000,5,0
133456,129031,113142,4,0
2385,53886,629,1,0
2396,111626,9118,11,0
2396,89863,12712,18,0
2396,89132,1336,3,0
2396,59857,7164,3,0
2396,104799,2187,3,0
2396,85795,2253,3,0
2396,51775,8624,6,0
133470,47947,4914,3,0
133470,50680,303,3,0
133470,49813,69,1,0
133472,56638,7,1,0
133472,135600,327,2,0
2402,66720,63,1,0
2405,105281,1201,3,0
2405,78111,2485,6,0
2405,88035,1696,3,0
2405,51775,2481,6,0
2405,53450,9958,22,0
2405,53371,244,1,0
2405,90763,1587,3,0
2405,89009,980,6,0
2405,107109,622,1,0
2405,85763,756,2,0
2405,90762,1434,3,0
2405,105284,2685,6,0
2405,63814,1641,3,0
2405,128392,298,1,0
2405,52279,1058,3,0
2405,88064,1813,5,0
2405,135928,4099,8,0
2405,90821,1142,3,0
2405,89863,16817,46,0
2405,119681,818,3,0
2405,24783,1394,5,0
2405,85829,620,4,0
2405,85742,2781,9,0
2405,59857,3367,6,0
2405,81248,811,3,0
2405,85795,7390,14,0
2405,47723,4988,11,0
2405,100917,1491,1,0
2405,92481,541,1,0
2405,88914,446,1,0
2405,93587,1784,6,0
2405,81235,1912,3,0
2405,81261,7515,6,0
2405,111626,2994,7,0
2405,108467,868,3,0
2405,104799,5275,15,0
2412,89126,578,2,0
2412,88914,768,2,0
133487,78949,58127,4,0
133487,101161,2000,1,0
133490,138824,57176,3,0
133490,32372,168,4,0
133490,6093,933,4,0
2431,35742,472,1,0
133508,121998,7200,5,0
133508,22349,9178,4,0
133508,22351,22750,5,0
2440,109585,4681,1,0
133520,78949,5483,5,0
133542,2411,1250,3,0
133542,64478,1442,1,0
133554,143325,5000,1,0
2485,50148,371,3,0
2486,51775,1800,3,0
133568,78949,38072,4,0
133568,163254,47887,3,0
133570,78949,119,1,0
133582,68178,386172,9,0
133582,1428,1660,1,0
2519,132184,468275,11,0
133592,4649,50000,1,0
133592,6046,753,1,0
133592,191560,3585,1,0
133592,28741,64264,1,0
133596,69983,5757,2,0
